Country,Year,Subj_std,Vader_std,Pos_Sentences_std,Neg_Sentences_std
France,1995,0.10817305941699876,0.3659884694780544,9.832636060053769,3.4718541834655436
Russian Federation,1995,0.13976970536567324,0.32428210314403144,8.528620314587345,3.474631042869168
China,1995,0.09001041267227722,0.114585447247642,8.276333478813827,2.628665485082284
United Kingdom Of Great Britain And Northern Ireland,1995,0.07743775483092268,0.4236186102104895,10.39696084785332,4.024285252671807
United States Of America,1995,0.05696880472828595,0.46886176035551413,12.80209825797175,4.926366016203411
France,1996,0.10484160638316935,0.37913231346208287,6.8098059289618105,3.3333333333333335
Russian Federation,1996,0.0490996660046653,0.43028835777980423,4.821903229094373,3.9507098233239186
China,1996,0.0790584602453786,0.15405771816946523,6.509881987793777,2.522061121215832
United Kingdom Of Great Britain And Northern Ireland,1996,0.1987719328359743,0.24134193948309926,7.747971082846211,2.93446495423038
United States Of America,1996,0.22005234418630104,0.534272020327206,10.214692618010476,6.196287666672138
France,1997,0.08525465701329007,0.01941000343465537,6.943342134735979,4.666547617529116
Russian Federation,1997,0.08797163046536681,0.3211492604915754,6.231093853589825,2.883379536415629
China,1997,0.08630803142179222,0.10179930602450445,5.696711793001755,2.1229862710509235
United Kingdom Of Great Britain And Northern Ireland,1997,0.21311086564067605,0.3373134215944499,8.8141236382413,3.4259662721572695
United States Of America,1997,0.17422364113249636,0.24940605071845837,10.415288249388588,5.4333940297155
France,1998,0.12208476028782345,0.4111212709149271,10.288664356760231,4.0768519171189626
Russian Federation,1998,0.1093706320496471,0.30500225744881315,7.189085991521015,3.791561663697962
China,1998,0.08325457614282504,0.3139205582259258,5.9854678869597,3.0570157581120423
United Kingdom Of Great Britain And Northern Ireland,1998,0.08951001390829144,0.30982469382508154,11.539160275910467,6.96760853595833
United States Of America,1998,0.1144603089985758,0.38314195439854787,8.004430270469115,4.662750576414431
France,1999,0.07152985195244226,0.3578016424779398,10.610020546216704,5.584050217609044
Russian Federation,1999,0.13299852621045183,0.5501620744144843,7.136897927275766,5.560275772537426
China,1999,0.15301189318935715,0.4594451080638467,8.408933549034238,5.405044365824122
