epoch,argument_candidate_acc,loss,lr,val_argument_candidate_acc,val_loss
0,0.04227583,1.0989699657984024,6.6666666e-07,0.058409594,0.7652357907118074
1,0.08354549,0.6065580565920288,1.3333333e-06,0.10316205,0.5496247980063176
2,0.15411553,0.5303493254151482,2e-06,0.13959835,0.5295628802879676
3,0.17340799,0.5195269323050357,2.6666667e-06,0.17991012,0.520089562647852
4,0.16052943,0.5150976978067233,3.3333333e-06,0.17836274,0.5185949376585314
5,0.1801841,0.5052849018081672,4e-06,0.20116417,0.5078210588948276
6,0.47977144,0.24944085984843686,4.666667e-06,0.5629649,0.18586671598624704
7,0.606694,0.1692421768357628,5.3333333e-06,0.62714684,0.169728300257387
8,0.65938556,0.15456782586713708,6e-06,0.6656558,0.15020169010645373
9,0.6940925,0.14065202272906002,6.6666666e-06,0.6840332,0.14666786403813323
10,0.7169453,0.13232460913608363,7.3333335e-06,0.6811736,0.1466573335824321
11,0.7408405,0.12298764727659373,8e-06,0.6963213,0.1431061883079286
12,0.77188385,0.11263353769382806,8.666667e-06,0.67739373,0.15488138696576698
13,0.80014455,0.10012359455830742,9.333334e-06,0.6713429,0.15190514222352589
14,0.8307114,0.08566257644975797,1e-05,0.66795486,0.16417832696671963
15,0.8642212,0.07122718942566265,9.73581e-06,0.6866043,0.16944977804159186
16,0.892459,0.05820575785143579,9.4786e-06,0.675463,0.18260282498493144
